FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
33207;Tomaattisalsa, teollinen;DISH;MIX;100;DISH;NONINGR;VEGSOUP;VEGDITOT
33208;Kylmä kastike, avokadokastike, guacamole, teollinen;DISH;MASH;100;DISH;NONINGR;VEGSOUP;VEGDITOT
33211;Tilapia, tuontikala;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
33212;Sekaleipä, junttakakko, junttasämpylät, ullan pakari;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33214;Sekaleipä, ohraleipä, ohraska, ullan pakari;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33215;Sekaleipä, kauraleipä, kaurajuntta, ullan pakari;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33216;Sekaleipä, aurinkosämpylät, ullan pakari;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33217;Ruisleipä, ruiskakko, ruissämpylät, ullan pakari;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
33219;Sekaleipä, 3-viljan leipä, pirjon pakari;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33220;Ruisleipä, perunainen, ruisiisakki, pirjon pakari;DISH;BAK;100;DISH;NONINGR;BRRYE;CEBAKTOT
