EUFDNAME;COMPUNIT;CMPCLASS;CMPCLASSP
ENERC;KJ;ENERGY;MACROCMP
CHOAVL;G;TOTALCAR;MACROCMP
FAT;G;TOTALFAT;MACROCMP
PROT;G;PROTEIN;MACROCMP
ALC;G;ALCOHOL;MACROCMP
FIBC;G;FIBRE;CARBOCMP
OA;G;ORGACID;CARBOCMP
SUGOH;G;POLYOL;CARBOCMP
STARCH;G;STARCH;CARBOCMP
SUGAR;G;SUGAR;CARBOCMP
FRUS;G;SUGAR;CARBOCMP
GALS;G;SUGAR;CARBOCMP
GLUS;G;SUGAR;CARBOCMP
LACS;G;SUGAR;CARBOCMP
MALS;G;SUGAR;CARBOCMP
SUCS;G;SUGAR;CARBOCMP
PSACNCS;G;POLYSACC;CARBOCMP
FIBINS;G;FIBRE;CARBOCMP
FOL;UG;WSVITAM;VITAM
NIAEQ;MG;WSVITAM;VITAM
NIA;MG;WSVITAM;VITAM
VITPYRID;MG;WSVITAM;VITAM
RIBF;MG;WSVITAM;VITAM
THIA;MG;WSVITAM;VITAM
VITB12;UG;WSVITAM;VITAM
VITC;MG;WSVITAM;VITAM
VITA;UG;FSVITAM;VITAM
CAROTENS;UG;FSVITAM;VITAM
VITD;UG;FSVITAM;VITAM
VITE;MG;FSVITAM;VITAM
VITK;UG;FSVITAM;VITAM
CA;MG;MACROELM;MINERAL
FE;MG;TRACEELM;MINERAL
ID;UG;TRACEELM;MINERAL
K;MG;MACROELM;MINERAL
MG;MG;MACROELM;MINERAL
NA;MG;MACROELM;MINERAL
NACL;MG;MACROELM;MINERAL
P;MG;MACROELM;MINERAL
SE;UG;TRACEELM;MINERAL
ZN;MG;TRACEELM;MINERAL
FAFRE;G;FATACID;FAT
FAPU;G;FATACID;FAT
FAMCIS;G;FATACID;FAT
FASAT;G;FATACID;FAT
FATRN;G;FATACID;FAT
FAPUN3;G;FATACID;FAT
FAPUN6;G;FATACID;FAT
F18D2CN6;MG;FATACID;FAT
F18D3N3;MG;FATACID;FAT
F20D5N3;MG;FATACID;FAT
F22D6N3;MG;FATACID;FAT
TRP;MG;AMACID;NITROCMP
CHOLE;MG;STEROL;FAT
STERT;MG;STEROL;FAT
